"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-19","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-20","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-21","0.00","89",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-24","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-25","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-26","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-27","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-28","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-29","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-09-30","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-01","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-02","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-03","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-04","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-05","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-06","0.00","88",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-07","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-08","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-09",,"88",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-10","0.00","82",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-11","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-12","0.00","88",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-15","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-16","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-17","0.00","87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-18","0.00","87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-19","0.00","87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-20",,"88",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-24","0.00","89",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-25","0.00","88",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-27","0.00","87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-29","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-30","0.00","87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-10-31","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-01","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-03","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-04","0.00","87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-05","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-06","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-07","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-09","0.00","87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-10","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-11","0.00","87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-12","0.00","80",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-17","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-18","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-19","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-20","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-22","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-23","0.00","81",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-24","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-25","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-26","0.00","86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-27","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-28","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-29","0.00","81",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-11-30","0.00","81",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-12-01","0.00","81",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-12-03","0.00","82",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-12-05","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1977-12-08","0.00","81",,
